Driver,Season,SynergyScore
Lewis Hamilton,2020,100.00000000000001
Valtteri Bottas,2020,86.10236401826802
Max Verstappen,2020,70.60390909609788
Daniel Ricciardo,2020,67.38459189717383
Carlos Sainz,2020,56.04149112134835
Alexander Albon,2020,54.92748764366121
Charles Leclerc,2020,43.98784191855846
Lando Norris,2020,62.44447663783681
Pierre Gasly,2020,46.86766402991648
Lance Stroll,2020,39.84059118656573
Esteban Ocon,2020,51.741900901337345
Sebastian Vettel,2020,38.36696691416421
Daniil Kvyat,2020,45.04780518594063
Antonio Giovinazzi,2020,17.049600712400064
George Russell,2020,21.25999371822867
Romain Grosjean,2020,7.39837965119564
Kevin Magnussen,2020,5.519648682911225
Nicholas Latifi,2020,3.378138566345825
Jack Aitken,2020,17.269437228662284
Pietro Fittipaldi,2020,5.979239182885706
Max Verstappen,2021,83.48492877781268
Lewis Hamilton,2021,91.63521841115876
Valtteri Bottas,2021,67.02648941914146
Carlos Sainz,2021,67.77466740460238
Lando Norris,2021,67.60431703610212
Charles Leclerc,2021,65.03211510115854
Daniel Ricciardo,2021,58.20705967674239
Fernando Alonso,2021,50.37515291991373
Sebastian Vettel,2021,31.922880825929425
Lance Stroll,2021,30.579126208973236
Yuki Tsunoda,2021,31.717974134019997
George Russell,2021,27.691336392123105
Nicholas Latifi,2021,13.693271839863385
Antonio Giovinazzi,2021,33.246708809334066
Mick Schumacher,2021,9.411654637173598
Robert Kubica,2021,19.21534805364729
Max Verstappen,2022,92.05683824076561
Charles Leclerc,2022,82.78453699253203
George Russell,2022,72.51921753350467
Carlos Sainz,2022,61.29037323917254
Lewis Hamilton,2022,70.75202330346664
Lando Norris,2022,58.960964443787894
Esteban Ocon,2022,55.51441293840549
Valtteri Bottas,2022,43.04023192922834
Daniel Ricciardo,2022,39.60005563605098
Sebastian Vettel,2022,33.21372093697343
Kevin Magnussen,2022,31.683710793902378
Pierre Gasly,2022,36.09881339669411
Lance Stroll,2022,27.51681903607202
Yuki Tsunoda,2022,24.960601503860786
Alexander Albon,2022,7.701850031744229
Nicholas Latifi,2022,4.8610143224135385
Max Verstappen,2023,98.28955553597456
Fernando Alonso,2023,67.5761656600628
Oscar Piastri,2023,38.82309500316971
Nyck De Vries,2023,3.521179043220215
Lewis Hamilton,2023,70.25344135063085
Logan Sargeant,2023,1.3922070597986647
Pierre Gasly,2023,45.64578436184641
Nico Hulkenberg,2023,35.20468330334624
Yuki Tsunoda,2023,27.97457135097237
George Russell,2023,55.58580631058506
Daniel Ricciardo,2023,36.64336939385325
Esteban Ocon,2023,22.421459919323894
Lando Norris,2023,60.74585626719855
Guanyu Zhou,2023,21.53544495763606
Alexander Albon,2023,26.670130153462452
Carlos Sainz,2023,64.96906243919338
Liam Lawson,2023,36.16838420270385
Kevin Magnussen,2023,16.18354022190701
Charles Leclerc,2023,61.94645458117107
Sergio Perez,2023,77.15365586938938
Max Verstappen,2024,88.51289212419005
Fernando Alonso,2024,51.05731923004981
Oscar Piastri,2024,79.51083705219645
Lewis Hamilton,2024,59.81115997006793
Logan Sargeant,2024,0.0
Pierre Gasly,2024,23.998015881048772
Carlos Sainz,2024,71.18603949028972
Lance Stroll,2024,25.860187028404667
Valtteri Bottas,2024,16.57760413980671
Alexander Albon,2024,11.217963556550913
Oliver Bearman,2024,45.50789630014448
Guanyu Zhou,2024,11.045886982487474
Daniel Ricciardo,2024,27.01193003720502
Lando Norris,2024,87.4928142657497
Esteban Ocon,2024,24.249827549853805
Yuki Tsunoda,2024,27.54368770372683
Jack Doohan,2024,14.743624658988992
George Russell,2024,69.1820294161592
Franco Colapinto,2024,3.4974665896021264
Liam Lawson,2024,36.35745683064428
Kevin Magnussen,2024,28.820890409938272
Charles Leclerc,2024,78.86501402386408
